date,bid,ask,mid
2025-05-02,26.1488,27.4898,26.8193
2025-05-05,26.1503,27.4913,26.8208
2025-05-06,26.1565,27.4979,26.8272
2025-05-07,26.1599,27.5015,26.8307
2025-05-08,26.1629,27.5045,26.8337
2025-05-09,26.1691,27.5111,26.8401
2025-05-12,26.1784,27.5208,26.8496
2025-05-13,26.1846,27.5274,26.856
2025-05-14,26.1904,27.5334,26.8619
2025-05-15,26.1924,27.5356,26.864
2025-05-16,26.1978,27.5412,26.8695
2025-05-19,26.2001,27.5437,26.8719
2025-05-20,26.2066,27.5506,26.8786
2025-05-21,26.2132,27.5574,26.8853
2025-05-22,26.2189,27.5635,26.8912
2025-05-23,26.2238,27.5686,26.8962
2025-05-27,26.2289,27.5739,26.9014
2025-05-28,26.2297,27.5749,26.9023
2025-05-29,26.2311,27.5763,26.9037
2025-05-30,26.2374,27.583,26.9102
2025-06-02,26.2483,27.5943,26.9213
2025-06-03,26.2508,27.597,26.9239
2025-06-04,26.2579,27.6045,26.9312
2025-06-05,26.2616,27.6084,26.935
2025-06-06,26.2666,27.6136,26.9401
2025-06-09,26.2787,27.6263,26.9525
2025-06-10,26.2843,27.6323,26.9583
2025-06-11,26.293,27.6414,26.9672
2025-06-12,26.3005,27.6493,26.9749
2025-06-13,26.3024,27.6512,26.9768
2025-06-16,26.3051,27.6541,26.9796
2025-06-17,26.307,27.656,26.9815
2025-06-18,26.3118,27.6612,26.9865
2025-06-19,26.3159,27.6655,26.9907
2025-06-20,26.317,27.6666,26.9918
2025-06-23,26.3216,27.6714,26.9965
2025-06-24,26.2804,27.6282,26.9543
2025-06-25,26.2744,27.6218,26.9481
2025-06-26,26.2769,27.6245,26.9507
2025-06-27,26.2654,27.6124,26.9389
2025-06-30,26.2721,27.6193,26.9457
2025-07-01,26.2764,27.624,26.9502
2025-07-02,26.2791,27.6267,26.9529
2025-07-03,26.2822,27.63,26.9561
2025-07-04,26.2187,27.5633,26.891
2025-07-07,26.2106,27.5548,26.8827
2025-07-08,26.2157,27.5601,26.8879
2025-07-09,26.2182,27.5628,26.8905
2025-07-10,26.1749,27.5173,26.8461
2025-07-11,26.1684,27.5104,26.8394
2025-07-14,26.1696,27.5116,26.8406
2025-07-15,26.1463,27.4871,26.8167
2025-07-16,26.1215,27.4611,26.7913
2025-07-17,26.1266,27.4664,26.7965
2025-07-18,26.1314,27.4714,26.8014
2025-07-21,26.1362,27.4766,26.8064
2025-07-22,26.1194,27.4588,26.7891
2025-07-23,26.1187,27.4581,26.7884
2025-07-24,26.1058,27.4446,26.7752
2025-07-25,26.111,27.45,26.7805
2025-07-28,26.1217,27.4613,26.7915
2025-07-29,26.1248,27.4646,26.7947
2025-07-30,26.1197,27.4591,26.7894
2025-07-31,26.1166,27.456,26.7863
2025-08-01,26.1208,27.4604,26.7906
2025-08-04,26.1255,27.4653,26.7954
2025-08-05,26.1031,27.4417,26.7724
2025-08-06,26.1098,27.4488,26.7793
2025-08-07,26.0948,27.433,26.7639
2025-08-08,26.0915,27.4295,26.7605
2025-08-13,26.097,27.4354,26.7662
2025-08-14,26.1039,27.4425,26.7732
2025-08-15,26.1112,27.4502,26.7807
2025-08-18,26.0991,27.4375,26.7683
2025-08-19,26.0917,27.4297,26.7607
2025-08-20,26.0891,27.4271,26.7581
2025-08-21,26.0944,27.4326,26.7635
2025-08-22,26.0818,27.4194,26.7506
2025-08-25,26.0933,27.4314,26.7624
2025-08-26,26.0995,27.4379,26.7687
2025-08-27,26.0765,27.4137,26.7451
2025-08-28,26.081,27.4185,26.7498
2025-08-29,26.0859,27.4237,26.7548
2025-09-01,26.0728,27.4098,26.7413
2025-09-02,26.0673,27.4041,26.7357
2025-09-03,26.094,27.4322,26.7631
